Comment,Designator,Footprint,LCSC
D,"D1,D2,D3,D4,D5,D6,D8,D9,D10,D11,D12,D14,D15,D16,D17,D18,D19,D20,D21,D13,D7",Diode-dual,C2972761
Conn_01x02_MountingPin,J8,Molex_Pico-EZmate_78171-0002_1x02-1MP_P1.20mm_Vertical,C505023
